SourceElementKey,Latitude,Longitude,BlockfaceName,SideOfStreet,ParkingSpaceCount,PaidParkingArea
58402,-122.32261022,47.60497317,TERRY AVE BETWEEN TERRACE ST AND JEFFERSON ST,NE,8,First Hill
34305,-122.32507698,47.60843237,MARION ST BETWEEN TERRY AVE AND BOREN AVE,NW,5,First Hill
94612,-122.33049132,47.62923993,FAIRVIEW NR AVE N BETWEEN YALE AVE N AND DEAD END,SE,23,South Lake Union
59945,-122.32158697,47.61997118,E OLIVE WAY BETWEEN HARVARD AVE E AND BROADWAY E,N,7,Capitol Hill
134965,-122.34219801,47.62928579,DEXTER AVE N BETWEEN PROSPECT ST AND HIGHLAND DR,E,7,South Lake Union
33746,-122.33109105,47.61959829,JOHN ST BETWEEN PONTIUS E AVE N AND YALE AVE N,S,6,South Lake Union
78065,-122.32926153,47.61818495,EASTLAKE AVE BETWEEN HOWELL ST AND DENNY LOWER WAY,W,3,Denny Triangle
53430,-122.33833527,47.61568744,7TH AVE BETWEEN WESTLAKE AVE AND LENORA ST,NE,6,Denny Triangle
55370,-122.3422468,47.61912951,DEXTER AVE N BETWEEN DENNY WAY AND JOHN ST,E,2,South Lake Union
13789,-122.33048815,47.61922926,YALE AVE N BETWEEN STEWART ST AND JOHN ST,W,10,South Lake Union
56358,-122.3378255,47.61963986,JOHN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,S,2,South Lake Union
58450,-122.33650374,47.62078412,THOMAS ST BETWEEN TERRY AVE N AND BOREN AVE N,S,7,South Lake Union
54610,-122.32340074,47.61256215,BOYLSTON AVE BETWEEN SENECA ST AND UNIVERSITY W ST,NE,7,First Hill
12542,-122.3377827,47.62314648,REPUBLICAN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,S,5,South Lake Union
58829,-122.3385976,47.61911756,WESTLAKE AVE N BETWEEN DENNY WAY AND JOHN ST,W,5,South Lake Union
58446,-122.33915414,47.62080537,THOMAS ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,S,8,South Lake Union
79026,-122.33909112,47.61963382,JOHN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,S,7,South Lake Union
31593,-122.34036244,47.62720712,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,N,15,South Lake Union
