SourceElementKey,Latitude,Longitude,BlockfaceName,SideOfStreet,ParkingSpaceCount,PaidParkingArea
57550,-122.33162048,47.62367967,PONTIUS AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,8,South Lake Union
75786,-122.34401361,47.61786447,6TH AVE BETWEEN BATTERY ST AND WALL ST,NE,6,Denny Triangle
79789,-122.32982852,47.62432634,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,N,6,South Lake Union
53129,-122.34293648,47.61700881,6TH AVE BETWEEN BELL ST AND BATTERY ST,SW,9,Denny Triangle
8610,-122.32565947,47.60666928,9TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,7,First Hill
35506,-122.3218643,47.61163295,SPRING ST BETWEEN BOYLSTON AVE AND HARVARD AVE,SE,6,First Hill
54609,-122.32353318,47.61250368,BOYLSTON AVE BETWEEN SENECA ST AND UNIVERSITY W ST,SW,8,First Hill
58401,-122.32272057,47.60492706,TERRY AVE BETWEEN TERRACE ST AND JEFFERSON ST,SW,5,First Hill
9394,-122.33575104,47.62142529,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,E,2,South Lake Union
31542,-122.32117725,47.60402508,ALDER ST BETWEEN TERRY AVE AND BROADWAY,SE,6,First Hill
13198,-122.32425866,47.61258563,UNIVERSITY ST BETWEEN SUMMIT AVE AND BOYLSTON W AVE,SE,13,First Hill
34481,-122.32507405,47.61084359,MINOR AVE BETWEEN SPRING ST AND SENECA ST,SW,6,First Hill
134961,-122.34243224,47.62757257,DEXTER AVE N BETWEEN ALOHA ST AND WARD ST,W,7,South Lake Union
13109,-122.33727797,47.62144907,TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST,W,9,South Lake Union
32909,-122.34254292,47.62147136,DEXTER AVE N BETWEEN THOMAS ST AND HARRISON ST,W,4,South Lake Union
34501,-122.33308446,47.62023889,MINOR AVE N BETWEEN JOHN ST AND THOMAS ST,W,7,South Lake Union
8382,-122.32806872,47.60759861,8TH AVE BETWEEN MARION ST AND MADISON ST,NE,4,First Hill
56910,-122.32231995,47.61044274,MADISON ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,SE,6,First Hill
56241,-122.3302179,47.61721619,HOWELL ST BETWEEN MINOR AVE AND YALE AVE,NW,5,Denny Triangle
80945,-122.32397401,47.61130695,SUMMIT AVE BETWEEN SPRING ST AND SENECA ST,SW,8,First Hill
35750,-122.33231236,47.62075516,THOMAS ST BETWEEN MINOR AVE N AND PONTIUS AVE N,S,4,South Lake Union
34569,-122.32009917,47.61586859,NAGLE PL BETWEEN E PINE ST AND E OLIVE ST,W,9,Capitol Hill
11673,-122.32393114,47.60890535,MARION ST BETWEEN BOREN AVE AND MINOR AVE,NW,4,First Hill
13794,-122.33031902,47.62024049,YALE AVE N BETWEEN JOHN ST AND THOMAS ST,E,8,South Lake Union
77618,-122.327653,47.60626271,COLUMBIA ST BETWEEN 7TH AVE AND 8TH AVE,SE,7,First Hill
32122,-122.33576039,47.62028326,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,E,9,South Lake Union
35434,-122.32804329,47.610029,SENECA ST BETWEEN 9TH AVE AND TERRY AVE,SE,5,First Hill
9697,-122.32379003,47.60700114,CHERRY ST BETWEEN TERRY AVE AND BOREN AVE,NW,11,First Hill
82362,-122.32039978,47.62420511,E MERCER ST BETWEEN BROADWAY E AND 10TH AVE E,S,5,Capitol Hill
80741,-122.32704785,47.61059363,SENECA ST BETWEEN TERRY AVE AND BOREN AVE,NW,6,First Hill
8622,-122.33879349,47.61827352,9TH AVE BETWEEN WESTLAKE AVE AND DENNY WAY,NE,1,Denny Triangle
121340,-122.33342324,47.62422099,MERCER ST BETWEEN MERCER SR ST AND MINOR AVE N,S,2,South Lake Union
77557,-122.32487277,47.60654852,CHERRY ST BETWEEN 9TH AVE AND TERRY AVE,NW,3,First Hill
76054,-122.33933279,47.6162881,7TH AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,10,Denny Triangle
58409,-122.32404909,47.60636065,TERRY AVE BETWEEN JAMES ST AND CHERRY ST,SW,10,First Hill
55374,-122.34222454,47.620302,DEXTER AVE N BETWEEN JOHN ST AND THOMAS ST,E,6,South Lake Union
81246,-122.33348049,47.62587776,VALLEY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,15,South Lake Union
13545,-122.33777839,47.61441774,WESTLAKE AVE BETWEEN 6TH AVE AND VIRGINIA ST,W,7,Denny Triangle
53806,-122.33632144,47.61680818,9TH AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,6,Denny Triangle
13546,-122.33753687,47.61439763,WESTLAKE AVE BETWEEN 6TH AVE AND VIRGINIA ST,E,7,Denny Triangle
34885,-122.33181611,47.62251895,PONTIUS AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,15,South Lake Union
8601,-122.32449968,47.60515148,9TH AVE BETWEEN JEFFERSON ST AND JAMES ST,SW,2,First Hill
134962,-122.34221309,47.62759084,DEXTER AVE N BETWEEN ALOHA ST AND WARD ST,E,4,South Lake Union
53434,-122.34062592,47.61704159,7TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,5,Denny Triangle
58198,-122.32407916,47.61069711,SPRING ST BETWEEN MINOR AVE AND SUMMIT AVE,SE,6,First Hill
58186,-122.3285232,47.60883822,SPRING ST BETWEEN 8TH AVE AND 9TH AVE,SE,8,First Hill
12682,-122.33344568,47.62507204,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,13,South Lake Union
10157,-122.32929908,47.62470623,EASTLAKE AVE E BETWEEN MERCER ST AND LAKEVIEW BLVD E,W,6,South Lake Union
82654,-122.32051138,47.62518096,E ROY ST BETWEEN BROADWAY E  E AND 10TH W AVE E,SE,3,Capitol Hill
76406,-122.32629794,47.60737724,9TH AVE BETWEEN COLUMBIA ST AND MARION ST,NE,8,First Hill
13170,-122.32852377,47.61219682,UNION ST BETWEEN TERRY AVE AND BOREN AVE,SE,8,First Hill
8369,-122.32627615,47.60543069,8TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,3,First Hill
7997,-122.33798426,47.61409047,6TH AVE BETWEEN WESTLAKE AVE AND VIRGINIA ST,SW,5,Denny Triangle
77982,-122.34220881,47.62670217,DEXTER AVE N BETWEEN VALLEY ST AND ALOHA ST,E,2,South Lake Union
54606,-122.3214265,47.61039901,BOYLSTON AVE BETWEEN MARION ST AND MADISON ST,NE,5,First Hill
8405,-122.34114567,47.6266943,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,W,7,South Lake Union
33518,-122.33237107,47.6219051,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,S,9,South Lake Union
79029,-122.33362811,47.61973194,JOHN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,N,7,South Lake Union
35821,-122.32882203,47.61081539,UNIVERSITY ST BETWEEN 9TH AVE AND TERRY AVE,NW,5,First Hill
35830,-122.3264665,47.61167817,UNIVERSITY ST BETWEEN BOREN AVE AND MINOR AVE,SE,5,First Hill
9393,-122.33595379,47.62142469,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,W,3,South Lake Union
35706,-122.32173593,47.60477148,TERRACE ST BETWEEN TERRY AVE AND BOREN AVE,SE,5,First Hill
58454,-122.33364461,47.62074999,THOMAS ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,S,2,South Lake Union
9698,-122.32370126,47.60692222,CHERRY ST BETWEEN TERRY AVE AND BOREN AVE,SE,6,First Hill
35826,-122.3276113,47.61119925,UNIVERSITY ST BETWEEN TERRY AVE AND BOREN AVE,SE,6,First Hill
55377,-122.34251847,47.62379307,DEXTER AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,3,South Lake Union
13197,-122.32435978,47.6126884,UNIVERSITY ST BETWEEN SUMMIT AVE AND BOYLSTON W AVE,NW,6,First Hill
32910,-122.34221033,47.62148098,DEXTER AVE N BETWEEN THOMAS ST AND HARRISON ST,E,5,South Lake Union
80893,-122.33409844,47.61599014,STEWART ST BETWEEN 9TH AVE AND TERRY AVE,NW,2,Denny Triangle
76053,-122.33951498,47.61615546,7TH AVE BETWEEN LENORA ST AND BLANCHARD ST,SW,4,Denny Triangle
13105,-122.33727531,47.62027821,TERRY AVE N BETWEEN JOHN ST AND THOMAS ST,W,6,South Lake Union
13082,-122.32455178,47.60711941,TERRY AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,7,First Hill
81694,-122.33033703,47.62139895,YALE AVE N BETWEEN THOMAS ST AND HARRISON ST,E,11,South Lake Union
13110,-122.33705498,47.6214455,TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST,E,3,South Lake Union
11670,-122.32610222,47.6079004,MARION ST BETWEEN 9TH AVE AND TERRY AVE,SE,11,First Hill
11126,-122.32240985,47.60548567,JEFFERSON ST BETWEEN TERRY AVE AND BOREN AVE,SE,10,First Hill
78933,-122.33191225,47.6158947,HOWELL ST BETWEEN TERRY AVE AND BOREN AVE,NW,9,Denny Triangle
58641,-122.335373,47.61676587,VIRGINIA ST BETWEEN 9TH AVE AND TERRY AVE,NW,4,Denny Triangle
10161,-122.32935349,47.62599666,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,10,South Lake Union
56082,-122.329809,47.62192424,HARRISON ST BETWEEN YALE AVE N AND EASTLAKE AVE E,S,10,South Lake Union
31062,-122.33869955,47.61706453,8TH AVE BETWEEN WESTLAKE AVE AND BLANCHARD ST,NE,4,Denny Triangle
78702,-122.33776987,47.62196471,HARRISON ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,S,1,South Lake Union
11018,-122.33064935,47.61057752,HUBBELL PL BETWEEN UNIVERSITY ST AND 9TH AVE,E,13,First Hill
10870,-122.34169227,47.62197119,HARRISON ST BETWEEN DEXTER AVE N AND 8TH AVE N,S,4,South Lake Union
57193,-122.33125717,47.61717718,MINOR AVE BETWEEN HOWELL ST AND STEWART ST,SW,9,Denny Triangle
80954,-122.32543075,47.61579861,SUMMIT AVE BETWEEN E PINE ST AND E OLIVE ST,E,8,Capitol Hill
11778,-122.33783456,47.62446799,MERCER SR ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,S,6,South Lake Union
33142,-122.33419318,47.61911853,FAIRVIEW AVE N BETWEEN DENNY WAY AND JOHN ST,E,3,South Lake Union
32466,-122.32700515,47.60553137,CHERRY ST BETWEEN 7TH AVE AND 8TH AVE,SE,6,First Hill
79785,-122.33239874,47.62431963,MERCER ST BETWEEN MINOR AVE N AND PONTIUS AVE N,N,4,South Lake Union
12549,-122.33362709,47.62318464,REPUBLICAN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,N,3,South Lake Union
35197,-122.33651591,47.62326784,REPUBLICAN ST BETWEEN TERRY AVE N AND BOREN AVE N,N,8,South Lake Union
8374,-122.3267698,47.60618899,8TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,3,First Hill
57197,-122.33310076,47.62371398,MINOR AVE N BETWEEN REPUBLICAN ST AND MERCER ST,W,7,South Lake Union
80554,-122.33234469,47.62306574,REPUBLICAN ST BETWEEN MINOR AVE N AND PONTIUS AVE N,S,6,South Lake Union
81118,-122.33701541,47.62386337,TERRY AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,E,5,South Lake Union
55026,-122.32544003,47.60718161,COLUMBIA ST BETWEEN 9TH AVE AND TERRY AVE,SE,5,First Hill
10797,-122.33364073,47.62205537,HARRISON ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,N,4,South Lake Union
77126,-122.34168549,47.61701942,BELL ST BETWEEN 6TH AVE AND 7TH AVE,SE,5,Denny Triangle
57201,-122.33266709,47.62552645,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,W,12,South Lake Union
55369,-122.34254683,47.61913275,DEXTER AVE N BETWEEN DENNY WAY AND JOHN ST,W,3,South Lake Union
33677,-122.329559,47.61771697,HOWELL ST BETWEEN YALE AVE AND EASTLAKE AVE,NW,4,Denny Triangle
11598,-122.32453442,47.6095135,MADISON ST BETWEEN BOREN AVE AND MINOR AVE,SE,8,First Hill
76186,-122.32941216,47.6090517,8TH AVE BETWEEN SPRING ST AND SENECA ST,NE,4,First Hill
32121,-122.33596324,47.62027032,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,W,2,South Lake Union
79034,-122.33261027,47.61959441,JOHN ST BETWEEN MINOR AVE N AND PONTIUS E AVE N,S,9,South Lake Union
80550,-122.33914163,47.62315969,REPUBLICAN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,S,4,South Lake Union
32262,-122.32064974,47.61063958,BROADWAY BETWEEN MARION ST AND MADISON ST,E,3,First Hill
79786,-122.33237992,47.62421002,MERCER ST BETWEEN MINOR AVE N AND PONTIUS AVE N,S,6,South Lake Union
30701,-122.33672396,47.61334209,6TH AVE BETWEEN OLIVE WAY AND STEWART ST,SW,2,Denny Triangle
35525,-122.33666037,47.61400074,STEWART ST BETWEEN 6TH AVE AND 7TH AVE,NW,6,Denny Triangle
8373,-122.32690423,47.60613272,8TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,SW,2,First Hill
76405,-122.32646922,47.60730393,9TH AVE BETWEEN COLUMBIA ST AND MARION ST,SW,3,First Hill
33005,-122.32926393,47.62021914,EASTLAKE AVE E BETWEEN STEWART ST AND THOMAS ST,W,14,South Lake Union
58185,-122.32861357,47.60894226,SPRING ST BETWEEN 8TH AVE AND 9TH AVE,NW,10,First Hill
79042,-122.32987656,47.61960575,JOHN ST BETWEEN YALE AVE N AND EASTLAKE AVE E,S,7,South Lake Union
120102,-122.32938631,47.62823632,EASTLAKE AVE E BETWEEN WARD ST AND PROSPECT ST,W,8,South Lake Union
77994,-122.34218322,47.63096125,DEXTER AVE N BETWEEN COMSTOCK ST AND LEE ST,E,8,South Lake Union
32470,-122.32592436,47.60600256,CHERRY ST BETWEEN 8TH AVE AND 9TH AVE,SE,7,First Hill
120107,-122.32853909,47.62961418,EASTLAKE AVE E BETWEEN PROSPECT ST AND E NELSON PL,SE,3,South Lake Union
30974,-122.34296812,47.61832103,7TH AVE BETWEEN BATTERY ST AND DEAD END,NE,4,Denny Triangle
79578,-122.32566552,47.60904037,MADISON ST BETWEEN TERRY AVE AND BOREN AVE,SE,9,First Hill
58414,-122.32583857,47.60855364,TERRY AVE BETWEEN MARION ST AND MADISON ST,NE,2,First Hill
35438,-122.32245377,47.61236006,SENECA ST BETWEEN BOYLSTON AVE AND HARVARD AVE,SE,4,First Hill
80746,-122.32471144,47.6114064,SENECA ST BETWEEN MINOR AVE AND SUMMIT AVE,SE,7,First Hill
33673,-122.33279095,47.61522135,HOWELL ST BETWEEN 9TH AVE AND TERRY AVE,NW,9,Denny Triangle
34386,-122.34041685,47.62445789,MERCER SR ST BETWEEN 8TH AVE N AND 9TH AVE N,S,4,South Lake Union
35437,-122.32258678,47.61245254,SENECA ST BETWEEN BOYLSTON AVE AND HARVARD AVE,NW,5,First Hill
10153,-122.32922659,47.6213762,EASTLAKE AVE E BETWEEN THOMAS ST AND HARRISON ST,W,10,South Lake Union
35433,-122.32815042,47.61013569,SENECA ST BETWEEN 9TH AVE AND TERRY AVE,NW,3,First Hill
76398,-122.32239979,47.60310302,9TH AVE BETWEEN E FIR ST AND ALDER ST,NE,6,First Hill
79014,-122.32356438,47.60501562,JEFFERSON ST BETWEEN 9TH AVE AND TERRY AVE,SE,4,First Hill
33517,-122.3323618,47.62203391,HARRISON ST BETWEEN MINOR AVE N AND PONTIUS AVE N,N,6,South Lake Union
77262,-122.3348533,47.6182961,BOREN AVE BETWEEN FAIRVIEW AVE AND DENNY WAY,NE,4,Denny Triangle
35705,-122.32181773,47.6048662,TERRACE ST BETWEEN TERRY AVE AND BOREN AVE,NW,10,First Hill
34890,-122.3316418,47.62451506,PONTIUS AVE N BETWEEN MERCER ST AND DEAD END,E,1,South Lake Union
8370,-122.32612102,47.60549559,8TH AVE BETWEEN JAMES ST AND CHERRY ST,NE,8,First Hill
12954,-122.32449676,47.61209744,SUMMIT AVE BETWEEN SENECA ST AND UNIVERSITY ST,NE,9,First Hill
32849,-122.32979337,47.61857744,DENNY LOWER WAY BETWEEN STEWART ST AND EASTLAKE AVE,N,5,South Lake Union
76717,-122.34165854,47.62720457,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,N,4,South Lake Union
31541,-122.32125908,47.60411979,ALDER ST BETWEEN TERRY AVE AND BROADWAY,NW,4,First Hill
8377,-122.32755118,47.60684502,8TH AVE BETWEEN COLUMBIA ST AND MARION ST,SW,10,First Hill
76042,-122.32985799,47.60788056,7TH AVE BETWEEN MADISON ST AND SPRING ST,NE,7,First Hill
13138,-122.33510817,47.62078405,THOMAS ST BETWEEN BOREN AVE N AND FAIRVIEW AVE N,S,10,South Lake Union
81105,-122.32270131,47.60449698,TERRACE ST BETWEEN DEAD END 2 AND TERRY AVE,NW,5,First Hill
34489,-122.33256888,47.6179534,MINOR AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,11,Denny Triangle
14601,-122.32724705,47.63047675,E NELSON PL BETWEEN EASTLAKE AVE E AND DEAD END,NE,3,South Lake Union
11594,-122.32676193,47.60857537,MADISON ST BETWEEN 9TH AVE AND TERRY AVE,SE,6,First Hill
11590,-122.32789226,47.60809623,MADISON ST BETWEEN 8TH AVE AND 9TH AVE,SE,4,First Hill
77266,-122.33574965,47.61912006,BOREN AVE N BETWEEN DENNY WAY AND JOHN ST,E,6,South Lake Union
